FIPS,STATE,COUNTY,TNBR,TNBR95CILB,TNBR95CIUB,TNBRQRT
01000,Alabama,,28,27,28,
01001,Alabama,Autauga,23,20,26,1
01003,Alabama,Baldwin,24,22,25,1
01005,Alabama,Barbour,35,29,40,3
01007,Alabama,Bibb,34,28,40,3
01009,Alabama,Blount,30,26,33,2
01011,Alabama,Bullock,40,32,51,4
01013,Alabama,Butler,39,33,45,4
01015,Alabama,Calhoun,30,28,33,2
01017,Alabama,Chambers,37,33,42,3
01019,Alabama,Cherokee,33,28,38,2
01021,Alabama,Chilton,43,39,47,4
01023,Alabama,Choctaw,30,24,38,2
01025,Alabama,Clarke,38,33,44,4
01027,Alabama,Clay,34,27,42,3
01029,Alabama,Cleburne,31,25,38,2
01031,Alabama,Coffee,26,23,29,1
01033,Alabama,Colbert,30,26,33,2
01035,Alabama,Conecuh,31,25,39,2
01037,Alabama,Coosa,33,25,43,3
01039,Alabama,Covington,40,35,45,4
01041,Alabama,Crenshaw,32,26,39,2
01043,Alabama,Cullman,37,34,40,3
01045,Alabama,Dale,32,29,36,2
01047,Alabama,Dallas,35,32,39,3
01049,Alabama,DeKalb,35,32,38,3
01051,Alabama,Elmore,24,22,26,1
01053,Alabama,Escambia,42,37,46,4
01055,Alabama,Etowah,38,35,41,4
01057,Alabama,Fayette,36,30,43,3
01059,Alabama,Franklin,44,39,49,4
01061,Alabama,Geneva,40,35,45,4
01063,Alabama,Greene,46,36,57,4
01065,Alabama,Hale,34,28,41,3
01067,Alabama,Henry,28,22,34,2
01069,Alabama,Houston,33,31,36,2
01071,Alabama,Jackson,31,27,34,2
01073,Alabama,Jefferson,25,24,26,1
01075,Alabama,Lamar,37,30,45,4
01077,Alabama,Lauderdale,20,18,22,1
01079,Alabama,Lawrence,35,30,39,3
01081,Alabama,Lee,15,13,16,1
01083,Alabama,Limestone,22,20,24,1
01085,Alabama,Lowndes,30,23,39,2
01087,Alabama,Macon,21,17,25,1
01089,Alabama,Madison,18,17,19,1
01091,Alabama,Marengo,25,20,30,1
01093,Alabama,Marion,39,34,44,4
01095,Alabama,Marshall,45,42,48,4
01097,Alabama,Mobile,31,30,32,2
01099,Alabama,Monroe,34,29,39,3
01101,Alabama,Montgomery,35,34,37,3
01103,Alabama,Morgan,35,33,38,3
01105,Alabama,Perry,22,17,29,1
01107,Alabama,Pickens,32,27,38,2
01109,Alabama,Pike,17,14,19,1
01111,Alabama,Randolph,38,33,44,4
01113,Alabama,Russell,33,30,37,3
01115,Alabama,St. Clair,28,25,30,1
01117,Alabama,Shelby,12,11,13,1
01119,Alabama,Sumter,23,19,29,1
01121,Alabama,Talladega,29,27,32,2
01123,Alabama,Tallapoosa,35,31,39,3
01125,Alabama,Tuscaloosa,20,19,21,1
01127,Alabama,Walker,42,39,46,4
01129,Alabama,Washington,31,25,37,2
01131,Alabama,Wilcox,43,35,50,4
01133,Alabama,Winston,41,35,46,4
02000,Alaska,,23,22,24,
02013,Alaska,Aleutians East,,,,
02016,Alaska,Aleutians West,,,,3
02020,Alaska,Anchorage,20,19,21,2
02050,Alaska,Bethel,58,52,65,4
02060,Alaska,Bristol Bay,,,,
02063,Alaska,Chugach,13,9,19,1
02066,Alaska,Copper River,13,9,19,1
02068,Alaska,Denali,,,,
02070,Alaska,Dillingham,39,29,51,4
02090,Alaska,Fairbanks North Star,23,21,25,2
02100,Alaska,Haines,,,,3
02105,Alaska,Hoonah-Angoon,37,21,61,3
02110,Alaska,Juneau,10,8,12,1
02122,Alaska,Kenai Peninsula,18,15,20,2
02130,Alaska,Ketchikan Gateway,18,13,23,1
02150,Alaska,Kodiak Island,16,11,21,1
02158,Alaska,Kusilvak,83,72,94,4
02164,Alaska,Lake and Peninsula,,,,3
02170,Alaska,Matanuska-Susitna,16,14,18,1
02180,Alaska,Nome,59,49,68,4
02185,Alaska,North Slope,52,42,63,4
02188,Alaska,Northwest Arctic,67,56,78,4
02195,Alaska,Petersburg,,,,3
02198,Alaska,Prince of Wales-Hyder,20,13,30,2
02220,Alaska,Sitka,8,4,14,1
02230,Alaska,Skagway,,,,
02240,Alaska,Southeast Fairbanks,32,23,43,2
02275,Alaska,Wrangell,,,,3
02282,Alaska,Yakutat,,,,
02290,Alaska,Yukon-Koyukuk,31,22,42,2
04000,Arizona,,22,22,23,
04001,Arizona,Apache,30,28,33,3
04003,Arizona,Cochise,30,28,32,2
04005,Arizona,Coconino,14,13,15,1
04007,Arizona,Gila,44,40,49,4
04009,Arizona,Graham,36,32,39,3
04011,Arizona,Greenlee,38,30,47,4
04012,Arizona,La Paz,44,36,52,4
04013,Arizona,Maricopa,21,21,21,1
04015,Arizona,Mohave,27,26,29,2
04017,Arizona,Navajo,37,35,39,4
04019,Arizona,Pima,20,19,21,1
04021,Arizona,Pinal,24,23,25,1
04023,Arizona,Santa Cruz,30,27,33,2
04025,Arizona,Yavapai,24,22,25,2
04027,Arizona,Yuma,35,33,36,3
05000,Arkansas,,33,33,34,
05001,Arkansas,Arkansas,51,43,58,4
05003,Arkansas,Ashley,38,32,44,2
